iem_cd,name,ticker,sector,industry,up52wk,down52wk,변동률(%),sector2
US6544051096,"9 Meters Biopharma, Inc.",NMTR,Healthcare,Biotechnology,1.43,0.197,625.8883249,의료/의약
US75644T1007,"Red Cat Holdings, Inc.",RCAT,Technology,Computer Hardware,3.89,1.46,166.4383562,제조
US0390142042,"Arcadia Biosciences, Inc.",RKDA,Basic Materials,Agricultural Inputs,2.66,0.513,418.5185185,기타
CAC009481069,AgriFORCE Growing Systems Ltd.,AGRI,Consumer Defensive,Farm Products,7.15,1.12,538.3928571,유통
US4831042043,"Kaival Brands Innovations Group, Inc.",KAVL,Consumer Defensive,Tobacco,3.53,0.52,578.8461538,서비스/오락/문화
US70614W1009,"Peloton Interactive, Inc.",PTON,Consumer Cyclical,Leisure,99.36,8.03,1137.3599,서비스/오락/문화
US83548F2002,"Sonim Technologies, Inc.",SONM,Technology,Communication Equipment,3.08,0.475,548.4210526,방송/통신
US54303L1044,Longeveron Inc.,LGVN,Healthcare,Biotechnology,45,2.84,1484.507042,의료/의약
US98986X1090,"Zynerba Pharmaceuticals, Inc.",ZYNE,Healthcare,Drug Manufacturers—Specialty & Generic,4.51,0.82,450,의료/의약
VGG1466B1031,"Borqs Technologies, Inc.",BRQS,Technology,Software & Application,12.416,0.6,1969.333333,IT
US25400Q1058,Digital World Acquisition Corp.,DWAC,Financial Services,Shell Companies,175,9.84,1678.455285,금융업
US2826443010,"Ekso Bionics Holdings, Inc.",EKSO,Healthcare,Medical Instruments & Supplies,4.75,1.41,236.8794326,의료/의약
IE00BJ3V9050,Endo International plc,ENDPQ,Healthcare,Drug Manufacturers—Specialty & Generic,7.07,0.09,7755.555556,의료/의약
US26745T1016,"Dyadic International, Inc.",DYAI,Healthcare,Biotechnology,5.64,1.65,241.8181818,의료/의약
US4833471000,"Kaleido Biosciences, Inc.",KLDO,Healthcare,Biotechnology,6.07,0.001,606900,의료/의약
US04301G2012,"Artelo Biosciences, Inc.",ARTL,Healthcare,Biotechnology,19.8,3.11,536.6559486,의료/의약
US37229T3014,"Genius Brands International, Inc.",GNUS,Communication Services,Entertainment,2.32,0.51,354.9019608,서비스/오락/문화
SGXZ34583559,Genius Group Limited,GNS,Consumer Defensive,Education & Training Services,36.75,2.08,1666.826923,서비스/오락/문화
US2312692005,"Curis, Inc.",CRIS,Healthcare,Biotechnology,8.2,0.68,1105.882353,의료/의약
KYG851581069,StoneCo Ltd.,STNE,Technology,Software—Infrastructure,40.04,6.81,487.958884,IT
US8269171067,"SIGA Technologies, Inc.",SIGA,Healthcare,Drug Manufacturers—Specialty & Generic,26.99,5.84,362.1575342,의료/의약
US44967K1043,"IMAC Holdings, Inc.",BACK,Healthcare,Medical Care Facilities,1.51,0.38,297.3684211,의료/의약
US02927U2087,American Resources Corporation,AREC,Basic Materials,Coking Coal,3.56,1.2,196.6666667,철강
US16934W1062,"Chimerix, Inc.",CMRX,Healthcare,Biotechnology,7.42,1.27,484.2519685,의료/의약
US30049G1040,"Evoke Pharma, Inc.",EVOK,Healthcare,Drug Manufacturers—Specialty & Generic,17.4,1.81,861.3259669,의료/의약
US13803R1023,Canoo Inc.,GOEV,Consumer Cyclical,Auto Manufacturers,13.35,1.75,662.8571429,제조
US7238363003,"Pioneer Power Solutions, Inc.",PPSI,Industrials,Electrical Equipment & Parts,14.43,2.77,420.9386282,전기/전자
US92859E1082,"Vivos Therapeutics, Inc.",VVOS,Healthcare,Medical Devices,4.355,0.72,504.8611111,의료/의약
US36467W1099,GameStop Corp.,GME,Consumer Cyclical,Specialty Retail,63.92,19.4,229.4845361,유통
KYG3302D1034,FGI Industries Ltd.,FGI,Consumer Cyclical,"Furnishings, Fixtures & Appliances",6.25,2,212.5,제조
KYG6096M1069,Aptorum Group Limited,APM,Healthcare,Biotechnology,2.72,0.855,218.128655,의료/의약
US83406F1021,"SoFi Technologies, Inc.",SOFI,Financial Services,Credit Services,24.65,4.82,411.4107884,금융업
US09606H1014,Blue Star Foods Corp.,BSFC,Consumer Defensive,Packaged Foods,7.89,0.6702,1077.260519,제조
US1628281073,"Checkpoint Therapeutics, Inc.",CKPT,Healthcare,Biotechnology,4.64,0.96,383.3333333,의료/의약
US29405E1091,"Enveric Biosciences, Inc.",ENVB,Healthcare,Biotechnology,112.5,4.26,2540.84507,의료/의약
US05360L2051,"Avenue Therapeutics, Inc.",ATXI,Healthcare,Biotechnology,27.75,3,825,의료/의약
US05759B1070,"Bakkt Holdings, Inc.",BKKT,Technology,Software—Infrastructure,50.8,1.98,2465.656566,IT
US54142F1021,"LogicBio Therapeutics, Inc.",LOGC,Healthcare,Biotechnology,4.75,0.2573,1746.094054,의료/의약
IL0011789042,Maris-Tech Ltd.,MTEK,Technology,Electronic Components,3.83,1.01,279.2079208,전기/전자
US0675322004,"Barfresh Food Group, Inc.",BRFH,Consumer Defensive,Beverages—Non-Alcoholic,8,2.75,190.9090909,제조
US4448632038,"Humanigen, Inc.",HGEN,Healthcare,Biotechnology,8.38,0.15,5486.666667,의료/의약
US0537346043,"Avinger, Inc.",AVGR,Healthcare,Medical Instruments & Supplies,19.26,1.132,1601.413428,의료/의약
US18978H1023,"CNS Pharmaceuticals, Inc.",CNSP,Healthcare,Biotechnology,1.63,0.166,881.9277108,의료/의약
US36192A1097,"GWG Holdings, Inc.",GWGHQ,Financial Services,Insurance—Life,10.9,0.02,54400,금융업
US74764U1043,"Quanergy Systems, Inc.",QNGY,Technology,Scientific & Technical Instruments,10.1,0.2,4950,IT
US98973P1012,"Alaunos Therapeutics, Inc.",TCRT,Healthcare,Biotechnology,4.01,0.41,878.0487805,의료/의약
US69764K1060,"Paltalk, Inc.",PALT,Technology,Software & Applicationpplication,15.2,1.42,970.4225352,IT
AU000000ITL3,Integrated Media Technology Limited,IMTE,Technology,Electronic Components,38.478,0.556,6820.503597,전기/전자
IL0011415309,Brenmiller Energy Ltd,BNRG.TA,Utilities,Utilities—Renewable,"2,880.00",921.1,212.6696341,기타
US14817C1071,"Cassava Sciences, Inc.",SAVA,Healthcare,Biotechnology,100,13.84,622.5433526,의료/의약
US69012T2069,"Outlook Therapeutics, Inc.",OTLK,Healthcare,Biotechnology,2.31,0.684,237.7192982,의료/의약
US91531W1062,UP Fintech Holding Limited,TIGR,Financial Services,Capital Markets,11.44,2.68,326.8656716,금융업
BSP733981026,Nymox Pharmaceutical Corporation,NYMX,Healthcare,Biotechnology,2.15,0.19,1031.578947,의료/의약
US13200M5085,"Camber Energy, Inc.",CEI,Energy,Oil & Gas E&P,4.85,0.18,2594.444444,화학
US49382L1089,Kidpik Corp.,PIK,Consumer Cyclical,Internet Retail,10.489,1.29,713.1007752,유통
US45333L1061,Incannex Healthcare Limited,IXHL,Healthcare,Drug Manufacturers—Specialty & Generic,96.07,3.26,2846.932515,의료/의약
US9273301005,"Vinco Ventures, Inc.",BBIG,Consumer Cyclical,Leisure,6.163,0.67,819.8507463,서비스/오락/문화
US91822M1062,VEON Ltd.,VEON,Communication Services,Telecom Services,2.38,0.24,891.6666667,방송/통신
IL0011809592,NeuroSense Therapeutics Ltd.,NRSN,Healthcare,Biotechnology,8.18,1.23,565.0406504,의료/의약
US4327051011,"Hillstream BioPharma, Inc.",HILS,Healthcare,Biotechnology,4.24,0.65,552.3076923,의료/의약
MHY3894J1047,Imperial Petroleum Inc.,IMPP,Energy,Oil & Gas E&P,9.7,0.26,3630.769231,화학
CA83013Q5095,Siyata Mobile Inc.,SYTA,Technology,Communication Equipment,9.68,0.3,3126.666667,방송/통신
US0051111096,"Acutus Medical, Inc.",AFIB,Healthcare,Medical Devices,9.15,0.48,1806.25,의료/의약
KYG9897X1079,Zhongchao Inc.,ZCMD,Healthcare,Health Information Services,1.957,1.04,88.17307692,의료/의약
US4831191030,"Kala Pharmaceuticals, Inc.",KALA,Healthcare,Drug Manufacturers—Specialty & Generic,2.95,0.211,1298.104265,의료/의약
US49907V1026,"Knightscope, Inc.",KSCP,Industrials,Security & Protection Services,27.5,2.5,1000,기타
US00847L2097,"Agile Therapeutics, Inc.",AGRX,Healthcare,Drug Manufacturers—Specialty & Generic,41.2,0.262,15625.19084,의료/의약
US30048L2034,"Evofem Biosciences, Inc.",EVFM,Healthcare,Biotechnology,12.3,0.16,7587.5,의료/의약
US00165C1045,"AMC Entertainment Holdings, Inc.",AMC,Communication Services,Entertainment,45.95,6.81,574.743025,서비스/오락/문화
US22530J2006,"Creative Realities, Inc.",CREX,Technology,Software & Applicationpplication,3.59,0.55,552.7272727,IT
US55328R1095,"MICT, Inc.",MICT,Technology,Computer Hardware,1.667,0.41,306.5853659,제조
US82452T1079,"Shift Technologies, Inc.",SFT,Consumer Cyclical,Auto & Truck Dealerships,7.58,0.603,1157.048093,유통
US92918V1098,"Vroom, Inc.",VRM,Consumer Cyclical,Auto & Truck Dealerships,23.684,1.03,2199.417476,유통
US64131A1051,"Neuronetics, Inc.",STIM,Healthcare,Diagnostics & Research,6.78,1.98,242.4242424,의료/의약
US29970R1059,Evaxion Biotech A/S,EVAX,Healthcare,Biotechnology,25.04,1.51,1558.278146,의료/의약
US45791E1073,Inspirato Incorporated,ISPO,Consumer Cyclical,Leisure,108,2.02,5246.534653,서비스/오락/문화
US03209T1097,"Ampio Pharmaceuticals, Inc.",AMPE,Healthcare,Biotechnology,1.79,0.06,2883.333333,의료/의약
US0396971071,"Ardelyx, Inc.",ARDX,Healthcare,Biotechnology,1.92,0.49,291.8367347,의료/의약
CA87261Y1060,TMC the metals company Inc.,TMC,Basic Materials,Other Industrial Metals & Mining,5.3,0.79,570.8860759,철강
US6963891055,"Palisade Bio, Inc.",PALI,Healthcare,Biotechnology,3.02,0.1052,2770.722433,의료/의약
US88338N1072,"TherapeuticsMD, Inc.",TXMD,Healthcare,Drug Manufacturers—Specialty & Generic,41,1.99,1960.301508,의료/의약
US86887P2002,CEA Industries Inc.,CEAD,Industrials,Farm & Heavy Construction Machinery,13.5,0.95,1321.052632,기계
CA00971M1068,Akanda Corp.,AKAN,Healthcare,Drug Manufacturers—Specialty & Generic,31,0.5,6100,의료/의약
US71948P1003,"Phunware, Inc.",PHUN,Technology,Software & Applicationpplication,24.04,0.85,2728.235294,IT
US23306J1016,DBV Technologies S.A.,DBVT,Healthcare,Biotechnology,5.6,1.15,386.9565217,의료/의약
US85789A1051,Stealth BioTherapeutics Corp,MITO,Healthcare,Biotechnology,1.5,0.162,825.9259259,의료/의약
US42240Q1040,"HeartCore Enterprises, Inc.",HTCR,Technology,Software & Applicationpplication,6.19,0.936,561.3247863,IT
US23292E1082,DiDi Global Inc.,DIDIY,Technology,Software & Applicationpplication,9.85,1.37,618.9781022,IT
KYG332771073,"Farmmi, Inc.",FAMI,Consumer Defensive,Packaged Foods,13.25,0.55,2309.090909,제조
VGG1144D1096,Bit Brother Limited,BTB,Consumer Cyclical,Restaurants,3,0.112,2578.571429,서비스/오락/문화
IE00BF3W0Q35,Iterum Therapeutics plc,ITRM,Healthcare,Biotechnology,11.25,1.58,612.0253165,의료/의약
US0181191075,"Allena Pharmaceuticals, Inc.",ALNAQ,Healthcare,Biotechnology,1.17,0.016,7212.5,의료/의약
US65344G1022,"NextPlay Technologies, Inc.",NXTP,Technology,Software—Infrastructure,3.68,0.172,2039.534884,IT
US13471N2018,Can-Fite BioPharma Ltd.,CANF,Healthcare,Biotechnology,2.6,0.74,251.3513514,의료/의약
US00972D1054,"Akebia Therapeutics, Inc.",AKBA,Healthcare,Biotechnology,3.35,0.3,1016.666667,의료/의약
US2075231017,Connect Biopharma Holdings Limited,CNTB,Healthcare,Biotechnology,25.25,0.557,4433.213645,의료/의약
US89977P1066,Tuniu Corporation,TOUR,Consumer Cyclical,Travel Services,1.64,0.456,259.6491228,서비스/오락/문화
US42238H1086,"HeartBeam, Inc.",BEAT,Healthcare,Health Information Services,5.47,1.12,388.3928571,의료/의약
US9616842061,"Westwater Resources, Inc.",WWR,Basic Materials,Other Industrial Metals & Mining,4.19,1,319,철강
US0518571007,Aurora Mobile Limited,JG,Technology,Software—Infrastructure,1.81,0.75,141.3333333,IT
US6412558073,"NeuroMetrix, Inc.",NURO,Healthcare,Medical Devices,10.9,2.7,303.7037037,의료/의약
US23816M1071,"DatChat, Inc.",DATS,Technology,Software & Applicationpplication,18.5,0.6,2983.333333,IT
US98741L1017,"Yoshitsu Co., Ltd",TKLF,Consumer Defensive,Household & Personal Products,43,1.1,3809.090909,제조
US86882C1053,"Surgalign Holdings, Inc.",SRGA,Healthcare,Medical Devices,35.1,2.95,1089.830508,의료/의약
US00507V1098,"Activision Blizzard, Inc.",ATVI,Communication Services,Electronic Gaming & Multimedia,86.9,56.4,54.07801418,서비스/오락/문화
US09609G1004,"bluebird bio, Inc.",BLUE,Healthcare,Biotechnology,17.85,2.87,521.9512195,의료/의약
US5894921072,Mereo BioPharma Group plc,MAH0.F,Healthcare,Biotechnology,2.18,0.274,695.620438,의료/의약
US48669G1058,Kazia Therapeutics Limited,KZIA,Healthcare,Biotechnology,12.28,1.04,1080.769231,의료/의약
US60743F5089,"Mobiquity Technologies, Inc.",MOBQ,Communication Services,Advertising Agencies,9.5,0.63,1407.936508,서비스/오락/문화
VGG6483G1000,"Newegg Commerce, Inc.",NEGG,Consumer Cyclical,Internet Retail,22.2,2.15,932.5581395,유통
US8677814035,"Sunshine Biopharma, Inc.",SBFM,Healthcare,Drug Manufacturers—Specialty & Generic,9.87,0.701,1307.988588,의료/의약
US87807D1037,TC Biopharm  Plc,Holdings,Healthcare,Biotechnology,3.5,0.24,1358.333333,의료/의약
US88688T1007,"Tilray Brands, Inc.",TLRY,Healthcare,Drug Manufacturers—Specialty & Generic,13.95,2.65,426.4150943,의료/의약
US0198181036,"AlloVir, Inc.",ALVR,Healthcare,Biotechnology,26.41,3.17,733.1230284,의료/의약
CA45257F2008,ImmunoPrecise Antibodies Ltd.,IPA.V,Healthcare,Biotechnology,8.81,4.52,94.91150442,의료/의약
US88105P1030,Terran Orbital Corporation,LLAP,Industrials,Aerospace & Defense,12.69,2.26,461.5044248,제조
US7995661045,"Sana Biotechnology, Inc.",SANA,Healthcare,Biotechnology,23.5,3.92,499.4897959,의료/의약
US8177631053,"Sesen Bio, Inc.",SESN,Healthcare,Biotechnology,1.47,0.365,302.739726,의료/의약
US18271L1070,"Clarus Therapeutics Holdings, Inc.",CRXTQ,Healthcare,Drug Manufacturers—General,8,0.015,53233.33333,의료/의약
US8902607063,Tonix Pharmaceuticals Holding Corp.,TNXP,Healthcare,Biotechnology,20.16,0.52,3776.923077,의료/의약
US29415C1018,"Eos Energy Enterprises, Inc.",EOSE,Industrials,Electrical Equipment & Parts,14.515,1,1351.5,전기/전자
US04685N1037,"Athenex, Inc.",ATNX,Healthcare,Drug Manufacturers—Specialty & Generic,3.2,0.225,1322.222222,의료/의약
US15672X1028,Cerberus Cyber Sentinel Corporation,CISO,Technology,Software—Infrastructure,10.78,2.15,401.3953488,IT
GB00BYW6GV68,Ferroglobe PLC,GSM,Basic Materials,Other Industrial Metals & Mining,9.94,4.53,119.4260486,철강
US76674Q1076,"Rimini Street, Inc.",RMNI,Technology,Software & Applicationpplication,11.52,4.19,174.9403341,IT
US62464R1095,"Moving iMage Technologies, Inc.",MITQ,Technology,Communication Equipment,3.5,0.82,326.8292683,방송/통신
US7707001027,"Robinhood Markets, Inc.",HOOD,Technology,Software—Infrastructure,45.46,6.81,567.5477239,IT
VGG8675X1235,Tantech Holdings Ltd,TANH,Consumer Defensive,Household & Personal Products,15.7,0.18,8622.222222,제조
US98872L1026,"Yumanity Therapeutics, Inc.",YMTX,Healthcare,Biotechnology,10.66,0.95,1022.105263,의료/의약
US23257B1070,Cyngn Inc.,CYN,Technology,Software & Applicationpplication,9.91,0.92,977.173913,IT
US83304A1060,Snap Inc.,SNAP,Communication Services,Internet Content & Information,79.3,9.34,749.0364026,서비스/오락/문화
US74006W1080,"Praxis Precision Medicines, Inc.",PRAX,Healthcare,Biotechnology,23.56,1.63,1345.398773,의료/의약
US92023M1018,"Vallon Pharmaceuticals, Inc.",VLON,Healthcare,Biotechnology,8.54,0.25,3316,의료/의약
US2057503003,Comstock Inc.,LODE,Real Estate,Real Estate Services,2.86,0.4,615,건설업
US47089W1045,JanOne Inc.,JAN,Industrials,Waste Management,7.35,1.89,288.8888889,제조
US7477981069,Qudian Inc.,QD,Financial Services,Credit Services,2.18,0.63,246.031746,금융업
US6475812060,New Oriental Education & Technology Group Inc.,EDU,Consumer Defensive,Education & Training Services,29.8,8.4,254.7619048,서비스/오락/문화
US09523Q2003,"Blue Apron Holdings, Inc.",APRN,Consumer Cyclical,Internet Retail,12.76,2.27,462.1145374,유통
US3455231049,Foresight Autonomous Holdings Ltd.,FRSX,Consumer Cyclical,Auto Parts,3.68,0.485,658.7628866,IT
US8342032005,"Soleno Therapeutics, Inc.",SLNO,Healthcare,Biotechnology,14.295,1.6,793.4375,의료/의약
US5537451008,"MSP Recovery, Inc.",MSPR,Healthcare,Health Information Services,11.7,0.941,1143.35813,의료/의약
US15673X1019,"Cepton, Inc.",CPTN,Technology,Software & Applicationpplication,80.16,1.01,7836.633663,IT
AU0000205205,Tritium DCFC Limited,DCFC,Industrials,Electrical Equipment & Parts,19.75,3.55,456.3380282,전기/전자
CA30069C8016,Excellon Resources Inc.,EXN.TO,Basic Materials,Other Industrial Metals & Mining,2.2,0.42,423.8095238,철강
CA26142Q2053,Draganfly Inc.,DPRO.CN,Industrials,Aerospace & Defense,4.85,0.91,432.967033,제조
US83370P1021,Society Pass Incorporated,SOPA,Technology,Software & Applicationpplication,77.34,1.43,5308.391608,IT
US88080T1043,TeraWulf Inc.,WULF,Financial Services,Capital Markets,43.98,1.03,4169.902913,금융업
US69924M1099,Paramount Gold Nevada Corp.,PZG,Basic Materials,Gold,1.1,0.283,288.6925795,철강
BMG0360L1000,Altamira Therapeutics Ltd.,CYTO,Healthcare,Biotechnology,3.33,0.23,1347.826087,의료/의약
US92852R4039,"Vivakor, Inc.",VIVK,Energy,Oil & Gas E&P,11.7,0.95,1131.578947,화학
CA1867601041,Clever Leaves Holdings Inc.,CLVR,Healthcare,Drug Manufacturers—Specialty & Generic,8.105,0.58,1297.413793,의료/의약
US02155X1063,Alterity Therapeutics Limited,ATHE,Healthcare,Biotechnology,1.38,0.4,245,의료/의약
US81367P1012,Secoo Holding Limited,SECO,Consumer Cyclical,Internet Retail,1.38,0.201,586.5671642,유통
US70465T1079,PDS Biotechnology Corporation,PDSB,Healthcare,Biotechnology,15.82,2.91,443.6426117,의료/의약
US7602731025,Repare Therapeutics Inc.,RPTX,Healthcare,Biotechnology,28.25,8.06,250.4962779,의료/의약
KYG720071003,"Powerbridge Technologies Co., Ltd.",PBTS,Technology,Software & Applicationpplication,2.21,0.252,776.984127,IT
US09175M1018,"BitNile Holdings, Inc.",NILE,Industrials,Aerospace & Defense,2.59,0.18,1338.888889,제조
US8116991071,"SeaChange International, Inc.",SEAC,Technology,Software & Applicationpplication,3.44,0.38,805.2631579,IT
IL0010832371,Cyren Ltd.,CYRN,Technology,Software—Infrastructure,13.87,0.9612,1342.987932,IT
US46264C2061,authID Inc.,AUID,Technology,Software—Infrastructure,18.637,1.45,1185.310345,IT
KYG9411M1087,"United Time Technology Co., Ltd.",UTME,Technology,Consumer Electronics,6.1,1.1,454.5454545,전기/전자
US8091711015,Scopus BioPharma Inc.,SCPS,Healthcare,Biotechnology,4.39,0.21,1990.47619,의료/의약
US29358Y2019,Enservco Corporation,ENSV,Energy,Oil & Gas Equipment & Services,8.76,0.55,1492.727273,화학
US58406B1035,"MedAvail Holdings, Inc.",MDVL,Healthcare,Pharmaceutical Retailers,3.56,0.701,407.8459344,의료/의약
US71880W3034,Phio Pharmaceuticals Corp.,PHIO,Healthcare,Biotechnology,2.42,0.59,310.1694915,의료/의약
US12529R1077,"C4 Therapeutics, Inc.",CCCC,Healthcare,Biotechnology,50,4.84,933.0578512,의료/의약
US00180G1067,AMTD IDEA Group,AMTD,Financial Services,Asset Management,12.9,1.01,1177.227723,금융업
US08205P1003,Benitec Biopharma Inc.,BNTC,Healthcare,Biotechnology,3.9,0.301,1195.681063,의료/의약
US92942V1098,"Vyant Bio, Inc.",VYNT,Healthcare,Biotechnology,3.24,0.5,548,의료/의약
US63008J1088,"NanoVibronix, Inc.",NAOV,Healthcare,Medical Devices,2.21,0.42,426.1904762,의료/의약
US88066N1054,"Tenon Medical, Inc.",TNON,Healthcare,Medical Devices,59.89,1.28,4578.90625,의료/의약
KYG2161Y1098,China Liberal Education Holdings Limited,CLEU,Consumer Defensive,Education & Training Services,3.02,0.54,459.2592593,서비스/오락/문화
KYG2952X1043,E-Home Household Service Holdings Limited,EJH,Consumer Cyclical,Personal Services,3.58,0.08,4375,서비스/오락/문화
US0557MQ2066,"BT Brands, Inc.",BTBD,Consumer Cyclical,Restaurants,5.25,1.55,238.7096774,서비스/오락/문화
US1031741085,"Boxed, Inc.",BOXD,Consumer Cyclical,Internet Retail,17.05,0.87,1859.770115,유통
US62857J2015,"Myomo, Inc.",MYO,Healthcare,Medical Devices,14.35,1.6,796.875,의료/의약
US12430A1025,"BuzzFeed, Inc.",BZFD,Communication Services,Internet Content & Information,14.77,1.44,925.6944444,서비스/오락/문화
US68236P1075,"Oncternal Therapeutics, Inc.",ONCT,Healthcare,Biotechnology,4.49,0.69,550.7246377,의료/의약
US64130M2098,NeuroOne Medical Technologies Corporation,NMTC,Healthcare,Medical Devices,4.25,0.51,733.3333333,의료/의약
US42328V6039,"Helius Medical Technologies, Inc.",HSDT,Healthcare,Medical Devices,14.84,0.27,5396.296296,의료/의약
US5504241051,"Luminar Technologies, Inc.",LAZR,Consumer Cyclical,Auto Parts,23.9,5.61,326.0249554,IT
US9183851057,vTv Therapeutics Inc.,VTVT,Healthcare,Biotechnology,1.76,0.382,360.7329843,의료/의약
CA3397641026,Flora Growth Corp.,FLGC,Healthcare,Drug Manufacturers—Specialty & Generic,6.34,0.586,981.9112628,의료/의약
US30049G2030,"Evoke Pharma, Inc.",EVOK,Healthcare,Drug Manufacturers—Specialty & Generic,17.4,1.81,861.3259669,의료/의약
US00484M6012,"Acorda Therapeutics, Inc.",ACOR,Healthcare,Drug Manufacturers—Specialty & Generic,4.9,0.28,1650,의료/의약
US85513Q1031,"Star Equity Holdings, Inc.",STRR,Healthcare,Diagnostics & Research,3.1,0.72,330.5555556,의료/의약
BMG9525W1091,Wejo Group Limited,WEJO,Technology,Software—Infrastructure,19.9,0.96,1972.916667,IT
US03828V1052,"Applied UV, Inc.",AUVI,Consumer Cyclical,"Furnishings, Fixtures & Appliances",8.05,0.866,829.5612009,제조
US65487U1088,"Nkarta, Inc.",NKTX,Healthcare,Biotechnology,28.17,7.55,273.1125828,의료/의약
US29604W1080,ERYTECH Pharma S.A.,ERYP,Healthcare,Biotechnology,6.44,0.5,1188,의료/의약
US23786R2013,Data Storage Corporation,DTST,Technology,Information Technology Services,4.99,2.04,144.6078431,IT
IL0010830961,SuperCom Ltd.,SPCB,Industrials,Security & Protection Services,1.3,0.26,400,제조
US74766W1080,"Quantum Computing, Inc.",QUBT,Technology,Computer Hardware,8.9,1.42,526.7605634,제조
US1508376076,CEL-SCI Corporation,CVM,Healthcare,Biotechnology,12.82,2.49,414.8594378,의료/의약
US42309B2043,"Helbiz, Inc.",HLBZ,Consumer Cyclical,Recreational Vehicles,15.4,0.3761,3994.655677,제조
US36269B1052,"Gain Therapeutics, Inc.",GANX,Healthcare,Biotechnology,9.7,2.33,316.3090129,의료/의약
US00444P1084,Acer Therapeutics Inc.,ACER,Healthcare,Biotechnology,3.77,1.16,225,의료/의약
US25401N1019,"Digital Brands Group, Inc.",DBGI,Consumer Cyclical,Apparel Retail,6.64,0.086,7620.930233,유통
